"","sample","library_processing_notes","marker","Study","Tree","Sex","Collection","Season","Weevil","Nitrogen","Stream","Notes"
"P02_06_E","1017","","ITS2","SH2","8356","Female","Fall","Summer","No",0,"Geo-W",""
"P02_06_F","1303","","ITS2","SH2","6278","Male","Summer","Summer","Yes",0,"Geo-W","Batch 2 (second four samples below?) sat longer in C1 solution; All 12 below stored in freezer for nanodrop?"
"P02_06_G","1360","","ITS2","FH2","8319","Male","Summer","Fall","Yes",0,"Geo-W",""
"P02_06_H","1071","sample vial says 1171, but really 1071","ITS2","SH2","8361","Male","Fall","Summer","No",0,"Geo-W",""
"P02_07_A","1184","","ITS2","EH2","E-11","Female","Fall","Fall","No",0,"Geo-W",""
"P02_07_B","1239","","ITS2","EH2","E-3","Female","Fall","Fall","No",16,"Geo-W","new spin columns used on these 12 below; again, for steps 2 & 3, Batch 2 waits for 10 minutes - not a problem?; All 12 below stored in freezer for nanodrop?"
"P02_07_C","1118","","ITS2","SH2","8398","Male","Fall","Summer","No",0,"Geo-W","pipette at step 5 weird"
"P02_07_D","1255","","ITS2","SH2","6242","Female","Summer","Summer","Yes",0,"Geo-W",""
"P02_07_E","1027","","ITS2","SH2","8352","Male","Fall","Summer","No",0,"Geo-W",""
"P02_07_F","1041","","ITS2","SH2","8331","Male","Fall","Summer","No",0,"Geo-W","again, for steps 2 & 3, Batch 2 waits for 10 minutes - not a problem?; All 12 below stored in freezer for nanodrop?"
"P02_07_G","1381","","ITS2","FH2","8352","Male","Fall","Fall","No",0,"Geo-W",""
"P02_07_H","1392","","ITS2","FH2","8342","Female","Fall","Fall","No",0,"Geo-W",""
"P02_08_A","1139","","ITS2","EH2","E-17","Male","Fall","Fall","No",8,"Geo-W",""
"P02_08_B","1036","","ITS2","FH2","8358","Female","Fall","Fall","No",0,"Geo-W",""
"P02_08_C","1387","","ITS2","FH2","8366","Female","Fall","Fall","No",0,"Geo-W","potential error in step 4"
"P02_08_D","1296","","ITS2","SH2","6325","Male","Summer","Summer","Yes",0,"Geo-W","small amount lost transferring to bead tube"
"P02_08_E","1115","","ITS2","FH2","8398","Male","Fall","Fall","No",0,"Geo-W",""
"P02_08_F","1367","","ITS2","FH2","6282","Female","Summer","Fall","Yes",0,"Geo-W",""
"P02_08_G","1385","","ITS2","FH2","8327","Female","Fall","Fall","No",0,"Geo-W",""
"P02_08_H","1320","","ITS2","SH2","S-1","Female","Summer","Summer","Yes",0,"Geo-W",""
"P02_09_A","1060","","ITS2","EH2","E-6","Male","Fall","Fall","Yes",16,"Geo-W","redo solution was slightly colored? Very high nanodrop"
"P02_09_B","1072","","ITS2","FH2","8361","Male","Fall","Fall","No",0,"Geo-W",""
"P02_09_C","1353","","ITS2","FH2","6254","Male","Summer","Fall","Yes",0,"Geo-W",""
"P02_09_D","1104","","ITS2","EH2","E-10","Female","Fall","Fall","Yes",0,"Geo-W",""
"P02_09_E","1311","","ITS2","SH2","6254","Male","Summer","Summer","Yes",0,"Geo-W",""
"P02_09_F","1308","","ITS2","SH2","6251","Male","Summer","Summer","Yes",0,"Geo-W",""
"P02_09_G","1298","","ITS2","SH2","6282","Female","Summer","Summer","Yes",0,"Geo-W",""
"P02_09_H","1109","","ITS2","SH2","8357","Male","Fall","Summer","No",0,"Geo-W",""
"P02_10_A","1329","","ITS2","SH2","8319","Male","Summer","Summer","Yes",0,"Geo-W",""
"P02_10_B","1345","","ITS2","FH2","6278","Male","Summer","Fall","Yes",0,"Geo-W",""
"P02_10_C","1014","","ITS2","FH2","8356","Female","Fall","Fall","No",0,"Geo-W",""
"P02_10_D","1064","","ITS2","SH2","8380","Female","Fall","Summer","No",0,"Geo-W",""
"P02_10_E","1284","","ITS2","SH2","6264","Female","Summer","Summer","Yes",0,"Geo-W","error step 7; but nano was fine - error was minor? Step 10 some splashed out"
"P02_10_F","1166","","ITS2","FH2","8377","Female","Fall","Fall","No",0,"Geo-W",""
"P02_10_G","1304","","ITS2","SH2","8342","Female","Fall","Summer","No",0,"Geo-W",""
"P02_10_H","1286","","ITS2","FH2","6264","Female","Summer","Fall","Yes",0,"Geo-W",""
"P02_11_A","1201","","ITS2","FH2","E-11","Female","Fall","Fall","No",0,"Geo-W",""
"P02_11_B","1086","","ITS2","SH2","8387","Male","Fall","Summer","No",0,"Geo-W",""
"P02_11_C","1374","","ITS2","FH2","6281","Female","Summer","Fall","Yes",0,"Geo-W",""
"P02_11_D","1206","","ITS2","SH2","E-11","Female","Fall","Summer","No",0,"Geo-W",""
"P02_11_E","1371","","ITS2","FH2","6295","Female","Summer","Fall","Yes",0,"Geo-W","didn't mix? Nano drop too high?"
"P02_11_F","1377","","ITS2","FH2","8365","Male","Fall","Fall","No",0,"Geo-W",""
"P02_11_G","1273","","ITS2","FH2","6234","Female","Summer","Fall","Yes",0,"Geo-W",""
"P02_11_H","1369","","ITS2","FH2","S-1","Female","Summer","Fall","Yes",0,"Geo-W",""
"P02_12_A","7381","","ITS2","SH2-18","2","Male","Summer","Summer","Yes",0,"Forsyth",""
"P02_12_B","4813","","ITS2","SH2-18","3","Male","Summer","Summer","Yes",0,"Forsyth",""
"P02_12_C","6015","","ITS2","SH1-18","8320","Female","Summer","Summer","Yes",0,"Forsyth",""
"P02_12_D","4888","","ITS2","SH1-18","1","Male","Summer","Summer","Yes",0,"Forsyth",""
"P02_12_E","7896","","ITS2","SH2-18","8332","Female","Summer","Summer","Yes",0,"Forsyth",""
"P02_12_F","3755","","ITS2","SH2-18","1","Male","Summer","Summer","Yes",0,"Forsyth",""
"P04_06_A","4128","","ITS2","SH1-18","3","Male","Summer","Summer","Yes",0,"Forsyth",""
"P04_06_C","3569","","ITS2","SH2-18","9","Female","Summer","Summer","Yes",0,"Forsyth",""
"P04_06_D","4397","","ITS2","SH1-18","8388","Female","Summer","Summer","Yes",0,"Forsyth",""
"P04_06_F","4725","","ITS2","SH2-18","7","Female","Summer","Summer","Yes",0,"Forsyth",""
"P04_06_G","1001","","ITS2","FH1-18","E-9","Female","Fall","Fall","No",16,"Willow",""
"P04_06_H","1002","","ITS2","FH2-18","E-9","Female","Fall","Fall","No",16,"Willow",""
"P04_07_A","1003","","ITS2","FH1-18","E-6","Male","Fall","Fall","Yes",16,"Willow",""
"P04_07_B","1004","","ITS2","FH2-18","E-6","Male","Fall","Fall","Yes",16,"Willow",""
"P04_07_C","1005","","ITS2","FH1-18","E-16","Female","Fall","Fall","Yes",8,"Willow",""
"P04_07_D","1006","","ITS2","FH2-18","E-16","Female","Fall","Fall","Yes",8,"Willow",""
"P04_07_E","1007","","ITS2","FH1-18","E-2","Female","Fall","Fall","No",8,"Willow",""
"P04_07_F","1008","","ITS2","FH2-18","E-2","Female","Fall","Fall","No",8,"Willow",""
"P04_07_G","1009","","ITS2","FH1-18","E-14","Male","Fall","Fall","No",0,"Willow",""
"P04_07_H","1010","","ITS2","FH2-18","E-14","Male","Fall","Fall","No",0,"Willow",""
"P04_08_A","1011","","ITS2","FH1-18","E-5","Male","Fall","Fall","Yes",0,"Willow",""
"P04_08_B","1012","","ITS2","FH2-18","E-5","Male","Fall","Fall","Yes",0,"Willow",""
"P04_08_C","MF1","","ITS2","initial","1","Male","Summer",NA,"Yes",0,NA,""
"P04_08_D","MF2","","ITS2","initial","2","Male","Summer",NA,"Yes",0,NA,""
"P04_08_E","MF3","","ITS2","initial","3","Male","Summer",NA,"Yes",0,NA,""
"P04_08_F","MF5","","ITS2","initial","8316","Female","Summer",NA,"Yes",0,NA,""
"P04_08_G","MF9","8 & 9 may have been switched (the order here is the order from the tray)","ITS2","initial","9","Female","Summer",NA,"Yes",0,NA,""
"P04_08_H","MF8","8 & 9 may have been switched (the order here is the order from the tray)","ITS2","initial","8388","Female","Summer",NA,"Yes",0,NA,""
"P04_09_A","8365A","plant DNA?","ITS2","plantpro","8365","Male","Fall",NA,"No",0,NA,""
"P04_09_B","8332b","Logan","ITS2","initial","8332","Female","Summer",NA,"Yes",0,NA,""
"P04_09_C","455b","Logan","ITS2","initial","8320","Female","Summer",NA,"Yes",0,NA,""
"P04_09_D","4b","Logan","ITS2","initial","4","Male","Summer",NA,"Yes",0,NA,""
"P04_09_E","7b","Logan","ITS2","initial","7","Female","Summer",NA,"Yes",0,NA,""
"P04_09_F","NLPW","Logan","ITS2","env","willow",NA,NA,"Fall",NA,NA,"Forsyth",""
"P04_09_G","NLPA","Logan","ITS2","env","alder",NA,NA,"Fall",NA,NA,"Forsyth",""
